Song,Artist,Download,View
Tak Tiki Tak,Harry Nach,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM,"727,732"
+Linda,Dalex,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0,"724,307"
Righteous,Juice WRLD,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,"723,542"
Without Me,Halsey,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,"719,980"
What's Love Got to Do with It,Kygo,https://open.spotify.com/track/3Be7CLdHZpyzsVijme39cW,"719,419"
Ain't It Different (feat. AJ Tracey & Stormzy),Headie One,https://open.spotify.com/track/6NJfIydBMYrXvlaXsFxmc8,"719,392"
Happier,Marshmello,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,"716,267"
Investe Em Mim,Jonas Esticado,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7,"716,055"
Back Door,Stray Kids,https://open.spotify.com/track/3KUGAgxo3b81X5bWoOp0U8,"715,465"
Be Alright,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,"714,492"
Devam (feat. Luciano & Ezhel),Gentleman,https://open.spotify.com/track/4ow1etGbQ8kfbAT3QPlmhN,"712,081"
