Song,Artist,Download,View
Holly Jolly Christmas,Michael Bublé,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,"877,766"
Perfect,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,"873,808"
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,"868,782"
Bohemian Rhapsody - Remastered 2011,Queen,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,"868,350"
Polvo,"Nicky Jam, Myke Towers",https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5,"861,670"
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts,"859,681"
motive (with Doja Cat),Ariana Grande,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT,"857,911"
Electric Love,BØRNS,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,"853,730"
Kings & Queens,Ava Max,https://open.spotify.com/track/1InCpEliLCkWHOBdXW7XSx,"845,440"
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,"843,734"
7 rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,"840,237"
Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,"837,132"
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,"834,287"
Shape of You,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,"830,037"
Djadja (feat. Maluma) - Remix,Aya Nakamura,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g,"829,087"
Martin & Gina,Polo G,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,"821,949"
SAD!,XXXTENTACION,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,"820,852"
Do They Know It's Christmas? - 1984 Version,Band Aid,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,"820,144"
Boy With Luv (feat. Halsey),BTS,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,"815,088"
Hollywood (feat. Diplo),Sfera Ebbasta,https://open.spotify.com/track/4CvW0iHAs7yJhbpnJ3NSnS,"809,148"
Macarena (feat. Offset),Sfera Ebbasta,https://open.spotify.com/track/1uPPyvMOaaVLnVcwD1Sp0d,"804,647"
All of Me,John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,"802,399"
Someone To You,BANNERS,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,"794,781"
Daddy Issues,The Neighbourhood,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5,"793,923"
At My Worst,Pink Sweat$,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr,"790,578"
Goosebumps,HVME,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ,"788,400"
I Don't Care (with Justin Bieber),Ed Sheeran,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,"786,366"
Driving Home for Christmas - 2019 Remaster,Chris Rea,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R,"775,200"
